#chrom	start	end	tmp/bam/control.bam_cov	tmp/bam/deleted.bam_cov	tmp/bam/inverted.bam_cov	tmp/bam/control.bam_count	tmp/bam/deleted.bam_count	tmp/bam/inverted.bam_count
chr01	0	10000	248768	261595	252625	1667	1755	1699
chr01	10000	20000	148426	166611	155206	1005	1133	1049
chr01	20000	30000	148116	154273	139493	1003	1041	941
chr01	30000	40000	152981	137863	157081	1033	944	1079
chr01	40000	50000	147101	150348	141551	995	1023	957
chr01	50000	60000	145230	146782	145264	981	997	988
chr01	60000	70000	151415	166005	151809	1021	1131	1030
chr01	70000	80000	144046	146791	152089	971	995	1031
chr01	80000	90000	153979	153187	148269	1040	1036	1004
chr01	90000	100000	151346	149884	149049	1024	1010	1012
chr01	100000	110000	156838	148929	150575	1056	1007	1018
chr01	110000	120000	153830	141535	151132	1039	961	1019
chr01	120000	130000	135805	145340	145630	919	985	983
chr01	130000	140000	154101	154588	133559	1043	1045	905
chr01	140000	150000	153188	140993	154640	1039	956	1046
chr01	150000	160000	150205	143028	150549	1016	968	1020
chr01	160000	170000	147608	152124	144664	998	1027	979
chr01	170000	180000	141904	150570	139728	960	1019	948
chr01	180000	190000	143469	153731	149353	974	1042	1012
chr01	190000	200000	144319	144765	146450	978	979	992
chr01	200000	210000	152423	159521	146954	1028	1079	1001
chr01	210000	220000	144974	153014	143648	978	1033	971
chr01	220000	230000	139970	162927	148862	952	1100	1003
chr01	230000	240000	140552	158389	143699	950	1071	974
chr01	240000	250000	140957	143371	141639	948	974	959
chr01	250000	260000	151510	158672	147086	1019	1075	995
chr01	260000	270000	147039	163035	154497	994	1104	1042
chr01	270000	280000	144217	149356	166858	974	1015	1130
chr01	280000	290000	147090	161135	159134	991	1088	1074
chr01	290000	300000	154380	149729	148748	1042	1008	1001
chr01	300000	310000	149450	149064	140564	1015	1005	950
chr01	310000	320000	150178	0	144887	1015	0	976
chr01	320000	330000	150858	151823	149027	1016	1021	1004
chr01	330000	340000	142330	157316	144722	962	1065	978
chr01	340000	350000	139485	152835	150725	942	1041	1019
chr01	350000	360000	150021	168717	148153	1012	1138	998
chr01	360000	370000	147749	159958	157435	1000	1076	1062
chr01	370000	380000	154429	153125	144593	1042	1033	979
chr01	380000	390000	154980	150865	149466	1045	1019	1013
chr01	390000	400000	158734	157507	147030	1071	1071	995
chr01	400000	410000	147452	151157	137965	996	1032	938
chr01	410000	420000	138406	148769	152853	936	1014	1028
chr01	420000	430000	157079	154256	146914	1062	1050	988
chr01	430000	440000	151426	153665	152604	1026	1041	1028
chr01	440000	450000	141571	142588	158636	961	967	1079
chr01	450000	460000	137007	141748	140614	929	960	955
chr01	460000	470000	155546	160461	150440	1056	1081	1024
chr01	470000	480000	138830	147852	144067	938	997	973
chr01	480000	490000	137038	143251	138936	927	966	942
chr01	490000	500000	154716	148794	149297	1045	1005	1004
chr01	500000	510000	151687	143758	161263	1032	972	1092
chr01	510000	520000	147252	148518	153807	1000	1005	1042
chr01	520000	530000	136427	149590	144590	924	1017	980
chr01	530000	540000	156690	162563	142896	1058	1100	965
chr01	540000	550000	161368	164650	155401	1089	1109	1047
chr01	550000	560000	151102	153116	143742	1023	1030	972
chr01	560000	570000	147447	157589	147998	1002	1060	1002
chr01	570000	580000	142095	156966	130158	964	1063	884
chr01	580000	590000	153377	150013	146942	1042	1009	994
chr01	590000	600000	143126	146967	150517	973	991	1020
chr01	600000	610000	155852	152123	151500	1054	1029	1024
chr01	610000	620000	143140	143677	146162	972	967	986
chr01	620000	630000	145504	152816	155413	987	1030	1054
chr01	630000	640000	157282	153709	149548	1058	1040	1012
chr01	640000	650000	149517	160029	142670	1012	1082	966
chr01	650000	660000	138769	148897	148418	947	1007	1005
chr01	660000	670000	144908	157320	143777	979	1064	973
chr01	670000	680000	127630	157557	144529	867	1069	970
chr01	680000	690000	157849	150241	136228	1067	1021	918
chr01	690000	700000	153253	146010	146563	1037	989	991
chr01	700000	710000	151701	163303	138449	1022	1107	937
chr01	710000	720000	134664	154825	141143	912	1049	950
chr01	720000	730000	139988	145801	150450	947	987	1021
chr01	730000	740000	142679	153401	143022	965	1036	971
chr01	740000	750000	141386	139247	140097	955	942	953
chr01	750000	760000	156787	150227	138943	1062	1020	939
chr01	760000	770000	142550	152563	146550	964	1033	991
chr01	770000	780000	146699	160577	158561	993	1088	1078
chr01	780000	790000	155894	148398	142830	1054	1000	968
chr01	790000	800000	138957	144265	151216	941	969	1027
chr01	800000	810000	145078	151365	156027	981	1019	1053
chr01	810000	820000	144598	150128	146907	979	1010	994
chr01	820000	830000	155358	150893	148209	1056	1022	1000
chr01	830000	840000	145190	158391	140595	991	1068	948
chr01	840000	850000	143116	159294	146977	970	1082	993
chr01	850000	860000	141609	150551	139742	955	1018	948
